TIM REL,GTX,GTY,XRAW,YRAW,GT Xmm,GT Ymm,Xmm,Ymm,YAW GT,YAW DATA,PITCH GT,PITCH DATA,GAZE GT,GAZE ANG,DIFF GZ,AOI_IND,AOI_X,AOI_Y,MEAN_ERR,STD ERR
3519.63751,256,1,254.2368,13.7299,28.928,0.113,28.7287584,1.5514787,2.760283058,7.721843953,0.010790705,-8.447021254,5.124248824,4.581314195,0.542934629,0,0,0,0,0
3552.93076,256,1,252.8654,11.9473,28.928,0.113,28.5737902,1.3500449,2.760283058,7.699236413,0.010790705,-8.47502697,5.124248824,4.56078817,0.563460654,0,0,0,0,0
3586.18063,256,1,254.0641,11.5665,28.928,0.113,28.7092433,1.3070145,2.760283058,7.707668682,0.010790705,-8.468679428,5.124248824,4.568361362,0.555887463,0,0,0,0,0
3631.06611,256,1,254.2389,12.6069,28.928,0.113,28.7289957,1.4245797,2.760283058,7.700838212,0.010790705,-8.440648189,5.124248824,4.582226384,0.54202244,0,0,0,0,0
3647.352,256,1,255.4386,9.4706,28.928,0.113,28.8645618,1.0701778,2.760283058,7.706670065,0.010790705,-8.467546309,5.124248824,4.564294177,0.559954647,0,0,0,0,0
3697.81972,256,1,248.5701,9.1609,28.928,0.113,28.0884213,1.0351817,2.760283058,7.636997848,0.010790705,-8.479970907,5.124248824,4.526549258,0.597699566,0,0,0,0,0
3731.59299,256,1,250.2534,10.0359,28.928,0.113,28.2786342,1.1340567,2.760283058,7.647952309,0.010790705,-8.477333461,5.124248824,4.542810429,0.581438395,0,0,0,0,0
3764.3031,256,1,250.0736,12.9829,28.928,0.113,28.2583168,1.4670677,2.760283058,7.644971146,0.010790705,-8.432256519,5.124248824,4.569616844,0.55463198,0,0,0,0,0
3798.08704,256,1,249.2558,14.1441,28.928,0.113,28.1659054,1.5982833,2.760283058,7.640156124,0.010790705,-8.417859919,5.124248824,4.574638176,0.549610648,0,0,0,0,0
3831.39522,256,1,248.9977,11.2241,28.928,0.113,28.1367401,1.2683233,2.760283058,7.64375324,0.010790705,-8.448975539,5.124248824,4.549063783,0.575185041,0,0,0,0,0
3864.45379,256,1,251.0525,12.2746,28.928,0.113,28.3689325,1.3870298,2.760283058,7.668615384,0.010790705,-8.430524417,5.124248824,4.570350362,0.553898462,0,0,0,0,0
3897.65246,256,1,250.5949,19.4732,28.928,0.113,28.3172237,2.2004716,2.760283058,7.665244743,0.010790705,-8.347578668,5.124248824,4.629742763,0.494506061,0,0,0,0,0
3931.40013,256,1,249.718,16.7861,28.928,0.113,28.218134,1.8968293,2.760283058,7.660774345,0.010790705,-8.364186735,5.124248824,4.604317746,0.519931078,0,0,0,0,0
3964.41319,256,1,249.2409,15.9518,28.928,0.113,28.1642217,1.8025534,2.760283058,7.658465178,0.010790705,-8.366336051,5.124248824,4.596043824,0.528205,0,0,0,0,0
3997.56705,256,1,252.0718,16.2408,28.928,0.113,28.4841134,1.8352104,2.760283058,7.690143625,0.010790705,-8.364739365,5.124248824,4.614135447,0.510113377,0,0,0,0,0
